primary_accession,lineage,assembler,assembler_version,wall_clock_seconds,peak_mem_in_gbs,n50,l50,num_contigs,assembly_length,largest_contig,srr_id
ERZ8868524,root:Environmental:Aquatic:Marine,metaspades,3.15.3,617797,124,1968,51224,377989,565260687,441809,ERR7163074
ERZ8587157,root:Environmental:Terrestrial:Soil,metaspades,3.15.3,306433,64,748,50062,156533,125848867,31032,ERR8263093
ERZ8810614,root:Host-associated:Mammals:Digestive system,metaspades,3.15.3,209598,80,1255,90156,442593,512258270,127734,SRR5976182
ERZ8810622,root:Host-associated:Mammals:Digestive system,metaspades,3.15.3,273681,86,1354,83616,434936,527050238,96494,SRR5976187
ERZ8810619,root:Host-associated:Mammals:Digestive system,metaspades,3.15.3,159706,71,1436,68376,372387,464735585,238467,SRR5976184
ERZ8810629,root:Host-associated:Mammals:Digestive system,metaspades,3.15.3,191475,81,1299,88063,462747,549890220,250109,SRR5976186
ERZ8810620,root:Host-associated:Mammals:Digestive system,metaspades,3.15.3,216684,79,1366,80454,432821,526396131,166439,SRR5976180
ERZ8810621,root:Host-associated:Mammals:Digestive system,metaspades,3.15.3,197817,81,1316,83666,440187,527120222,185843,SRR5976183
ERZ8810616,root:Host-associated:Mammals:Digestive system,metaspades,3.15.3,226761,77,1371,80530,434583,532294846,271314,SRR5976185
ERZ8810624,root:Host-associated:Mammals:Digestive system,metaspades,3.15.3,228687,83,1330,93845,483354,580307995,157660,SRR5976181
ERZ9424075,root:Host-associated:Mammals:Digestive system:Fecal,metaspades,3.15.3,175849,72,1304,66479,344557,409159797,462169,SRR14474039
ERZ9423996,root:Host-associated:Mammals:Digestive system:Fecal,metaspades,3.15.3,227924,74,1290,72222,364882,427780730,147967,SRR14474040
ERZ9424082,root:Host-associated:Mammals:Digestive system:Fecal,metaspades,3.15.3,180350,69,1137,64907,307999,336614485,141221,SRR14474041
ERZ9423963,root:Host-associated:Mammals:Digestive system:Fecal,metaspades,3.15.3,164220,65,1348,50460,273122,328729157,226035,SRR14474042
ERZ9423908,root:Host-associated:Mammals:Digestive system:Fecal,metaspades,3.15.3,104656,38,1837,23791,176323,248041818,344174,SRR14474043
ERZ9423922,root:Host-associated:Mammals:Digestive system:Fecal,metaspades,3.15.3,145375,43,1604,32438,207015,271640032,435634,SRR14474044
ERZ9424079,root:Host-associated:Mammals:Digestive system:Fecal,metaspades,3.15.3,153201,67,1493,42659,274518,353172021,205659,SRR14474045
ERZ9423955,root:Host-associated:Mammals:Digestive system:Fecal,metaspades,3.15.3,160354,67,1620,43512,281929,376413776,221362,SRR14474046
ERZ9424069,root:Host-associated:Mammals:Digestive system:Fecal,metaspades,3.15.3,165210,73,1323,72845,372069,442197513,283715,SRR14474047
ERZ9423967,root:Host-associated:Mammals:Digestive system:Fecal,metaspades,3.15.3,148225,69,1327,59112,321360,386373486,266633,SRR14474048
ERZ9423966,root:Host-associated:Mammals:Digestive system:Fecal,metaspades,3.15.3,162309,69,1431,50333,297837,371419545,561154,SRR14474049
ERZ9423997,root:Host-associated:Mammals:Digestive system:Fecal,metaspades,3.15.3,175457,71,1308,68099,351665,416221618,198009,SRR14474050
ERZ9423995,root:Host-associated:Mammals:Digestive system:Fecal,metaspades,3.15.3,171811,71,1434,58957,337265,420206833,150726,SRR14474051
ERZ9423965,root:Host-associated:Mammals:Digestive system:Fecal,metaspades,3.15.3,159814,69,1202,66514,314598,353145362,135116,SRR14474052
ERZ8969616,root:Host-associated:Mammals:Digestive system:Fecal,metaspades,3.15.3,116548,40,916,34792,139463,133615824,107686,SRR13040388
ERZ8969618,root:Host-associated:Mammals:Digestive system:Fecal,metaspades,3.15.3,232692,69,1008,49569,211054,213707504,130987,SRR13040389
ERZ8969613,root:Host-associated:Mammals:Digestive system:Fecal,metaspades,3.15.3,105312,36,1014,27904,119952,121765706,137372,SRR13040390
ERZ9426305,root:Host-associated:Mammals:Digestive system,metaspades,3.15.3,225408,33,7492,1155,20723,56512067,886380,SRR15732357
ERZ9426307,root:Host-associated:Mammals:Digestive system,metaspades,3.15.3,838802,170,1326,15064,95376,114612119,310716,SRR15732358
ERZ9426291,root:Host-associated:Mammals:Digestive system,metaspades,3.15.3,169761,20,3569,3282,47546,87466817,500121,SRR15732359
ERZ9426306,root:Host-associated:Mammals:Digestive system,metaspades,3.15.3,296405,33,5396,4727,81060,178148072,507005,SRR15732360
ERZ9426308,root:Host-associated:Mammals:Digestive system,metaspades,3.15.3,382456,59,3860,4446,55772,109915090,326755,SRR15732361
ERZ9426289,root:Host-associated:Mammals:Digestive system,metaspades,3.15.3,152046,17,5927,1430,29276,59379123,273139,SRR15732362
ERZ9426288,root:Host-associated:Mammals:Digestive system,metaspades,3.15.3,216953,38,4078,1521,25663,49300574,265152,SRR15732363
ERZ9426311,root:Host-associated:Mammals:Digestive system,metaspades,3.15.3,658513,138,3097,10491,127382,220521145,403032,SRR15732364
ERZ9426284,root:Host-associated:Mammals:Digestive system,metaspades,3.15.3,61186,14,4057,328,8451,14624292,601904,SRR15732365
ERZ9426310,root:Host-associated:Mammals:Digestive system,metaspades,3.15.3,1371312,319,975,22913,114934,117882230,1537557,SRR15732366
ERZ9426320,root:Host-associated:Mammals:Digestive system,metaspades,3.15.3,815151,141,3088,10905,134478,231750923,335527,SRR15732367
ERZ9426318,root:Host-associated:Mammals:Digestive system,metaspades,3.15.3,570735,131,3083,10231,121606,209871770,402716,SRR15732368
ERZ8974715,root:Host-associated:Mammals:Digestive system,metaspades,3.15.3,147946,26,3043,9471,87769,159752413,298348,SRR3169810
ERZ8974680,root:Host-associated:Mammals:Digestive system,metaspades,3.15.3,177758,35,3858,5562,56350,116841181,776331,SRR3173844
ERZ8974681,root:Host-associated:Mammals:Digestive system,metaspades,3.15.3,215212,41,4848,5294,68797,141823943,629603,SRR3176533
ERZ8974731,root:Host-associated:Mammals:Digestive system,metaspades,3.15.3,197113,40,3535,13541,135928,266909184,776336,SRR3176534
ERZ8974994,root:Host-associated:Mammals:Digestive system,metaspades,3.15.3,302941,89,1374,89610,447906,543596053,252438,SRR3178346
ERZ8974935,root:Host-associated:Mammals:Digestive system,metaspades,3.15.3,253970,82,1890,52407,349221,499905061,372945,SRR3178347
ERZ8879894,root:Host-associated:Arthropoda:Digestive system:Gut,metaspades,3.15.3,736132,809,701,29674,78124,56362437,14791,ERR7783800
ERZ8879862,root:Host-associated:Arthropoda:Digestive system:Gut,metaspades,3.15.3,696123,955,641,7822,19975,13557624,14237,ERR7783797
ERZ8879970,root:Host-associated:Arthropoda:Digestive system:Gut,metaspades,3.15.3,731842,533,686,31997,82416,58155121,14237,ERR7783799
ERZ8879949,root:Host-associated:Arthropoda:Digestive system:Gut,metaspades,3.15.3,757781,500,694,43915,113596,80949684,14790,ERR7783795
ERZ8879889,root:Host-associated:Arthropoda:Digestive system:Gut,metaspades,3.15.3,700462,808,647,13496,34232,23238057,14235,ERR7783796
ERZ8879921,root:Host-associated:Arthropoda:Digestive system:Gut,metaspades,3.15.3,698734,748,694,30802,80705,57752289,14279,ERR7783798
ERZ9284062,root:Environmental:Terrestrial:Soil:Contaminated,metaspades,3.15.3,575658,146,1549,28466,195353,250885425,146251,ERR9527525
ERZ9284153,root:Environmental:Terrestrial:Soil:Contaminated,metaspades,3.15.3,766469,143,1589,30563,191395,254215453,504775,ERR9527526
ERZ9284066,root:Environmental:Terrestrial:Soil:Contaminated,metaspades,3.15.3,539960,134,1360,33357,195261,237714913,219466,ERR9527527
ERZ9284146,root:Environmental:Terrestrial:Soil:Contaminated,metaspades,3.15.3,576342,141,1468,25271,181466,234432391,285501,ERR9527528
ERZ9284065,root:Environmental:Terrestrial:Soil:Contaminated,metaspades,3.15.3,698415,136,1349,34412,191051,236062608,310812,ERR9527529
ERZ9284054,root:Environmental:Terrestrial:Soil:Contaminated,metaspades,3.15.3,879717,157,1558,27017,173417,227080300,175249,ERR9527530
ERZ9284071,root:Environmental:Terrestrial:Soil:Contaminated,metaspades,3.15.3,494739,143,1344,36105,213159,258086551,523587,ERR9527531
ERZ9284106,root:Environmental:Terrestrial:Soil:Contaminated,metaspades,3.15.3,374964,84,1479,24590,169751,219293174,271886,ERR9527532
ERZ9284047,root:Environmental:Terrestrial:Soil:Contaminated,metaspades,3.15.3,754147,140,1572,22848,151409,199245934,287045,ERR9527533
ERZ9284016,root:Environmental:Terrestrial:Soil:Contaminated,metaspades,3.15.3,632020,100,1545,16522,116118,154619964,268244,ERR9527534
ERZ9284048,root:Environmental:Terrestrial:Soil:Contaminated,metaspades,3.15.3,765733,111,1737,21123,153748,216079505,216200,ERR9527535
ERZ9284060,root:Environmental:Terrestrial:Soil:Contaminated,metaspades,3.15.3,919169,124,1569,28207,181940,241390926,200254,ERR9527536
ERZ9284063,root:Environmental:Terrestrial:Soil:Contaminated,metaspades,3.15.3,963169,168,891,50420,205451,193736227,108157,ERR9527537
ERZ9040398,root:Host-associated:Birds:Digestive system:Ceca,metaspades,3.15.3,6392,5,994,7840,34158,34033082,114834,SRR6765258
ERZ9040411,root:Host-associated:Birds:Digestive system:Ceca,metaspades,3.15.3,7481,7,967,8251,36965,36668589,87894,SRR6765259
ERZ9040437,root:Host-associated:Birds:Digestive system:Ceca,metaspades,3.15.3,13431,10,800,21973,75880,64915122,57487,SRR6765260
ERZ9040438,root:Host-associated:Birds:Digestive system:Ceca,metaspades,3.15.3,14056,9,786,26037,85673,71354035,100177,SRR6765261
ERZ9040441,root:Host-associated:Birds:Digestive system:Ceca,metaspades,3.15.3,13391,10,816,27383,92099,78611011,64728,SRR6765262
ERZ9040413,root:Host-associated:Birds:Digestive system:Ceca,metaspades,3.15.3,9684,6,737,19917,59061,46049654,40970,SRR6765263
ERZ9040414,root:Host-associated:Birds:Digestive system:Ceca,metaspades,3.15.3,9303,8,740,17560,52569,41240158,88118,SRR6765264
ERZ9040356,root:Host-associated:Birds:Digestive system:Ceca,metaspades,3.15.3,2243,2,790,3415,12321,10624929,20208,SRR6765265
ERZ9040397,root:Host-associated:Birds:Digestive system:Ceca,metaspades,3.15.3,7472,5,1110,7026,34326,36437587,154927,SRR6765266
ERZ9040396,root:Host-associated:Birds:Digestive system:Ceca,metaspades,3.15.3,8451,6,1239,5473,32475,37086040,89313,SRR6765267
ERZ9280833,root:Host-associated:Mammals:Digestive system:Fecal,metaspades,3.15.3,433802,103,1436,90191,499242,624328931,288581,SRR7188232
ERZ9280809,root:Host-associated:Mammals:Digestive system:Fecal,metaspades,3.15.3,278142,82,1546,78616,442792,573168411,355840,SRR7188235
ERZ9280841,root:Host-associated:Mammals:Digestive system:Fecal,metaspades,3.15.3,270568,92,1311,117589,591700,702471940,271529,SRR7188234
ERZ9280836,root:Host-associated:Mammals:Digestive system:Fecal,metaspades,3.15.3,257320,87,1424,94571,527382,658838340,151047,SRR7188236
ERZ9280834,root:Host-associated:Mammals:Digestive system:Fecal,metaspades,3.15.3,261377,87,1382,103511,556647,685887111,213563,SRR7188233
ERZ9280832,root:Host-associated:Mammals:Digestive system:Fecal,metaspades,3.15.3,258364,87,1399,101770,533474,655591195,282419,SRR7188237
ERZ9808543,root:Environmental:Aquatic:Marine,metaspades,3.15.3,5188686,303,794,39566,121988,100446156,20305,SRR12479866
ERZ9808536,root:Environmental:Aquatic:Marine,metaspades,3.15.3,958019,86,834,28857,93561,80616638,64535,SRR12479894
ERZ9808579,root:Environmental:Aquatic:Marine,metaspades,3.15.3,3595706,209,844,75848,255178,223393299,170146,SRR12480076
ERZ9808610,root:Environmental:Aquatic:Marine,metaspades,3.15.3,3797976,526,839,123012,404983,350783149,43159,SRR13122137
ERZ9422074,root:Environmental:Aquatic:Marine,metaspades,3.15.3,5254866,332,689,32006,84997,60965098,5382,SRR12480093
ERZ9422142,root:Environmental:Aquatic:Marine,metaspades,3.15.3,480463,149,796,35495,112734,93829716,49823,SRR12480153
ERZ9422144,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1444852,175,870,38589,127556,112427206,25517,SRR12480155
ERZ9422156,root:Environmental:Aquatic:Marine,metaspades,3.15.3,683150,151,1090,43270,177601,184712948,53097,SRR12480156
ERZ9422143,root:Environmental:Aquatic:Marine,metaspades,3.15.3,839619,130,673,10545,27894,19737438,6854,SRR12480157
ERZ9422148,root:Environmental:Aquatic:Marine,metaspades,3.15.3,2372906,148,727,20629,57810,43740810,16251,SRR12480158
ERZ9422182,root:Environmental:Aquatic:Marine,metaspades,3.15.3,844684,135,731,17395,49464,37765991,13579,SRR12480159
ERZ9422197,root:Environmental:Aquatic:Marine,metaspades,3.15.3,2435804,145,745,25382,72643,56145126,20290,SRR12480163
ERZ9422212,root:Environmental:Aquatic:Marine,metaspades,3.15.3,429694,144,728,29932,86986,66976353,35570,SRR12480164
ERZ9422213,root:Environmental:Aquatic:Marine,metaspades,3.15.3,662414,129,812,34093,104236,86385156,18441,SRR12480166
ERZ9422194,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1353162,137,742,22312,64374,49884496,14894,SRR12480168
ERZ9422211,root:Environmental:Aquatic:Marine,metaspades,3.15.3,235901,107,827,26698,84460,71541568,22834,SRR12480173
ERZ9422214,root:Environmental:Aquatic:Marine,metaspades,3.15.3,654115,157,740,25073,71342,54866330,11275,SRR12480174
ERZ9422218,root:Environmental:Aquatic:Marine,metaspades,3.15.3,389919,153,694,17479,47499,34641655,15205,SRR12480175
ERZ9422229,root:Environmental:Aquatic:Marine,metaspades,3.15.3,619013,164,743,31208,92915,72963280,29146,SRR12480181
ERZ9422276,root:Environmental:Aquatic:Marine,metaspades,3.15.3,689245,165,736,25989,77161,60186646,67502,SRR12480192
ERZ9422228,root:Environmental:Aquatic:Marine,metaspades,3.15.3,830526,132,712,15778,43371,32183755,6549,SRR12480194
ERZ9422253,root:Environmental:Aquatic:Marine,metaspades,3.15.3,509178,194,632,8450,20860,13766455,3602,SRR12480195
ERZ9422262,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1130195,113,744,19259,55784,43336930,19952,SRR12480197
ERZ9422259,root:Environmental:Aquatic:Marine,metaspades,3.15.3,2714511,190,701,17909,48858,35866921,8724,SRR12480199
ERZ9422277,root:Environmental:Aquatic:Marine,metaspades,3.15.3,2081973,137,722,24183,67083,50323406,6809,SRR12480204
ERZ9422278,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1276795,338,695,29642,79469,57569372,5862,SRR12480206
ERZ9422279,root:Environmental:Aquatic:Marine,metaspades,3.15.3,2118317,115,705,17273,47442,35028462,7897,SRR12480207
ERZ9422286,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1597121,144,702,19352,52914,38901907,7658,SRR12480210
ERZ9422324,root:Environmental:Aquatic:Marine,metaspades,3.15.3,2635005,170,733,22847,65365,50203496,9370,SRR12480211
ERZ9422314,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1986774,133,675,15045,39552,27928054,7188,SRR12480212
ERZ9422308,root:Environmental:Aquatic:Marine,metaspades,3.15.3,3561887,138,626,5922,14503,9466869,3200,SRR12480213
ERZ9422315,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1139869,126,680,14142,37546,26740790,9244,SRR12480214
ERZ9422322,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1298775,118,698,17215,47003,34411621,6550,SRR12480216
ERZ9422321,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1371282,112,734,17941,50602,38570954,6926,SRR12480218
ERZ9422338,root:Environmental:Aquatic:Marine,metaspades,3.15.3,2538025,197,723,30088,84104,63398158,13415,SRR12480219
ERZ9422348,root:Environmental:Aquatic:Marine,metaspades,3.15.3,409764,120,786,34721,106284,86948559,22731,SRR12480220
ERZ9422333,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1422353,164,644,9057,22813,15389722,5723,SRR12480226
ERZ9422364,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1013857,282,805,40070,125309,104394206,22287,SRR12480229
ERZ9422347,root:Environmental:Aquatic:Marine,metaspades,3.15.3,2290622,282,765,30460,89508,70947282,7795,SRR12480230
ERZ9422344,root:Environmental:Aquatic:Marine,metaspades,3.15.3,3957772,259,686,20749,54894,39221652,5097,SRR12480232
ERZ9422366,root:Environmental:Aquatic:Marine,metaspades,3.15.3,3068555,212,793,32232,96683,78634540,13284,SRR12480233
ERZ9422346,root:Environmental:Aquatic:Marine,metaspades,3.15.3,2041584,257,636,11132,27577,18276791,4046,SRR12480234
ERZ9422379,root:Environmental:Aquatic:Marine,metaspades,3.15.3,2683590,199,739,21352,60139,45969252,6598,SRR12480235
ERZ9422365,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1187961,150,640,8329,20745,13841346,3597,SRR12480240
ERZ9422381,root:Environmental:Aquatic:Marine,metaspades,3.15.3,694879,101,791,18171,54478,44256860,11904,SRR12480241
ERZ9422380,root:Environmental:Aquatic:Marine,metaspades,3.15.3,631060,113,706,18895,52346,38865851,15819,SRR12480253
ERZ9422400,root:Environmental:Aquatic:Marine,metaspades,3.15.3,384417,104,854,31092,104459,91753666,28096,SRR12480256
ERZ9422395,root:Environmental:Aquatic:Marine,metaspades,3.15.3,953009,132,732,27394,78917,60647103,44857,SRR12480257
ERZ9422396,root:Environmental:Aquatic:Marine,metaspades,3.15.3,370974,113,813,30891,97629,81965047,31114,SRR12480258
ERZ9422459,root:Environmental:Aquatic:Marine,metaspades,3.15.3,293967,112,855,30982,100875,87652702,21955,SRR12480259
ERZ9422444,root:Environmental:Aquatic:Marine,metaspades,3.15.3,239932,106,788,22378,69384,56966131,34254,SRR12480260
ERZ9422439,root:Environmental:Aquatic:Marine,metaspades,3.15.3,549401,107,744,19580,58464,46005377,38820,SRR12480263
ERZ9422462,root:Environmental:Aquatic:Marine,metaspades,3.15.3,911113,150,825,36331,115588,98139091,25448,SRR12480267
ERZ9422440,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1083000,127,722,20473,57277,43177388,7778,SRR12480280
ERZ9422461,root:Environmental:Aquatic:Marine,metaspades,3.15.3,988861,110,768,33446,98068,77866465,15782,SRR12480282
ERZ9422486,root:Environmental:Aquatic:Marine,metaspades,3.15.3,390744,105,831,30392,95407,80776469,23192,SRR12480291
ERZ9422487,root:Environmental:Aquatic:Marine,metaspades,3.15.3,462588,102,869,34972,118723,105526610,54220,SRR12480292
ERZ9422513,root:Environmental:Aquatic:Marine,metaspades,3.15.3,306112,114,895,43460,149234,135057972,43675,SRR12480293
ERZ9422530,root:Environmental:Aquatic:Marine,metaspades,3.15.3,602950,149,945,59043,216496,205091937,262346,SRR12480297
ERZ9422528,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1515901,205,811,65626,205783,172202612,57531,SRR12480298
ERZ9422529,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1710687,249,827,58302,186103,158252416,29169,SRR12480300
ERZ9422514,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1365804,106,693,12048,32771,23865897,7224,SRR12480309
ERZ9422603,root:Environmental:Aquatic:Marine,metaspades,3.15.3,3543068,386,807,70421,221194,184495790,28358,SRR12480318
ERZ9422565,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1152224,257,614,5650,13706,8816667,3041,SRR12480347
ERZ9422612,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1302371,271,708,44772,124264,92333653,11279,SRR12480355
ERZ9422601,root:Environmental:Aquatic:Marine,metaspades,3.15.3,974874,107,706,20126,55214,40777918,10437,SRR12480356
ERZ9422622,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1191724,201,826,50731,169097,145976377,234106,SRR12480362
ERZ9422564,root:Environmental:Aquatic:Marine,metaspades,3.15.3,923902,178,611,5808,14054,9006147,5829,SRR12480364
ERZ9422635,root:Environmental:Aquatic:Marine,metaspades,3.15.3,944421,170,885,36597,130918,119437370,57110,SRR13122036
ERZ9422621,root:Environmental:Aquatic:Marine,metaspades,3.15.3,427776,138,847,34699,115735,101163632,54293,SRR13122038
ERZ9422634,root:Environmental:Aquatic:Marine,metaspades,3.15.3,845531,133,797,18623,60163,50484322,45954,SRR13122040
ERZ9422642,root:Environmental:Aquatic:Marine,metaspades,3.15.3,731524,128,827,21271,68207,58159792,34106,SRR13122041
ERZ9422644,root:Environmental:Aquatic:Marine,metaspades,3.15.3,388574,111,775,21083,64424,52141017,46593,SRR13122046
ERZ9422647,root:Environmental:Aquatic:Marine,metaspades,3.15.3,303573,131,705,18569,52264,39080350,20251,SRR13122047
ERZ9422649,root:Environmental:Aquatic:Marine,metaspades,3.15.3,600761,197,695,21715,59759,43836685,29275,SRR13122049
ERZ9422674,root:Environmental:Aquatic:Marine,metaspades,3.15.3,524658,191,701,22835,63297,46808047,44488,SRR13122050
ERZ9422654,root:Environmental:Aquatic:Marine,metaspades,3.15.3,313519,95,739,18645,54613,42479274,22119,SRR13122051
ERZ9422675,root:Environmental:Aquatic:Marine,metaspades,3.15.3,408784,135,756,24212,71358,56247115,42740,SRR13122053
ERZ9422679,root:Environmental:Aquatic:Marine,metaspades,3.15.3,672510,195,665,15732,41576,29270646,21563,SRR13122054
ERZ9422678,root:Environmental:Aquatic:Marine,metaspades,3.15.3,343878,105,745,22966,68588,54094782,37541,SRR13122063
ERZ9422690,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1286093,252,749,47708,138198,107772984,94713,SRR13122064
ERZ9422700,root:Environmental:Aquatic:Marine,metaspades,3.15.3,863883,168,770,33967,103380,83370959,94713,SRR13122065
ERZ9422691,root:Environmental:Aquatic:Marine,metaspades,3.15.3,338856,126,688,17755,48823,35595897,37491,SRR13122066
ERZ9422701,root:Environmental:Aquatic:Marine,metaspades,3.15.3,413852,117,804,30491,96010,80082826,72566,SRR13122075
ERZ9422702,root:Environmental:Aquatic:Marine,metaspades,3.15.3,509497,155,792,35780,109333,89481740,24832,SRR13122076
ERZ9422736,root:Environmental:Aquatic:Marine,metaspades,3.15.3,394958,150,750,17179,52478,41855277,98823,SRR13122079
ERZ9422742,root:Environmental:Aquatic:Marine,metaspades,3.15.3,426471,115,725,24207,68628,52180182,34562,SRR13122080
ERZ9422762,root:Environmental:Aquatic:Marine,metaspades,3.15.3,398717,138,824,35726,116473,99610686,94752,SRR13122087
ERZ9422745,root:Environmental:Aquatic:Marine,metaspades,3.15.3,384968,125,823,30843,100546,85900070,94713,SRR13122089
ERZ9422744,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1829387,174,768,27502,84910,68720714,88925,SRR13122090
ERZ9422743,root:Environmental:Aquatic:Marine,metaspades,3.15.3,464920,128,815,26334,84907,71912381,94713,SRR13122091
ERZ9422770,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1044912,164,680,20594,54620,38885324,11307,SRR13122097
ERZ9422803,root:Environmental:Aquatic:Marine,metaspades,3.15.3,433985,126,842,14089,51029,45489835,53102,SRR13122102
